Updated,Position Rank,Position,Team,Value,Age,In My table,Rookie,KTC 1QB Position Rank,KTC 1QB Value,FantasyCalc Values ->,FantasyCalc Position Rank,FantasyCalc Value,FantasyCalc 1QB Position Rank,FantasyCalc 1QB Value,Redraft Values ->,KTC Redraft Position Rank,KTC Redraft Value,FantasyCalc Redraft Value
Jaylen Warren,RB39,RB,PIT,2967,26.8,1,No,RB39,3700,,RB42,1440,RB42,1761,,RB36,4238,474
2026 Late 2nd,,PI,,2948,,0,,,3466,,,,,,,,,
Stefon Diggs,WR53,WR,NEP,2943,31.7,1,No,WR54,3596,,WR48,1655,WR48,1856,,WR42,4708,859
Aaron Jones,RB40,RB,MIN,2938,30.7,1,No,RB44,3562,,RB35,1582,RB35,1935,,RB29,4642,1018
2028 Early 2nd,,PI,,2933,,0,,,3790,,,,,,,,,
Jake Ferguson,TE15,TE,DAL,2931,26.5,1,No,TE15,3639,,TE18,1451,TE18,1488,,TE15,3978,394
Evan Engram,TE16,TE,DEN,2925,30.9,1,No,TE16,3500,,TE13,1731,TE13,1776,,TE10,4740,932
2027 Late 2nd,,PI,,2911,,0,,,3383,,,,,,,,,
Brian Robinson,RB41,RB,WAS,2908,26.4,1,No,RB35,3756,,RB36,1555,RB36,1903,,RB42,3719,656
Joe Mixon,RB42,RB,HOU,2901,29,1,No,RB40,3666,,RB29,1715,RB29,2098,,RB40,3973,1471
Jaylin Noel,WR54,WR,HOU,2893,22.9,1,Yes,WR53,3618,,WR67,1177,WR67,1320,,WR64,3220,
Deebo Samuel,WR55,WR,WAS,2890,29.6,1,No,WR55,3580,,WR51,1570,WR51,1761,,WR45,4475,734
Jaydon Blue,RB43,RB,DAL,2888,21.6,1,Yes,RB41,3658,,RB44,1413,RB44,1729,,,,94
Tyjae Spears,RB44,RB,TEN,2885,24.1,1,No,RB42,3634,,RB50,1232,RB50,1507,,RB43,3715,185
J.K. Dobbins,RB45,RB,DEN,2881,26.6,1,No,RB45,3477,,RB43,1418,RB43,1735,,RB34,4402,615
Jack Bech,WR56,WR,LVR,2855,22.6,1,Yes,WR58,3492,,WR60,1278,WR60,1434,,,,51
Marvin Mims,WR57,WR,DEN,2834,23.4,1,No,WR56,3558,,WR56,1320,WR56,1480,,WR58,3590,221
Rashid Shaheed,WR58,WR,NOS,2807,26.9,1,No,WR59,3443,,WR57,1319,WR57,1480,,WR55,3894,220
Matthew Stafford,QB29,QB,LAR,2807,37.5,1,No,QB29,2667,,QB31,1636,QB31,981,,QB27,4227,1268
Darnell Mooney,WR59,WR,ATL,2801,27.8,1,No,WR60,3411,,WR63,1250,WR63,1402,,WR54,4019,335
Elijah Arroyo,TE17,TE,SEA,2795,22.3,1,Yes,TE17,3450,,TE17,1504,TE17,1543,,TE23,3279,
Travis Kelce,TE18,TE,KCC,2789,35.8,1,No,TE18,3425,,TE14,1659,TE14,1702,,TE11,4523,1540
2028 Mid 2nd,,PI,,2770,,0,,,3521,,,,,,,,,
Jalen McMillan,WR60,WR,TBB,2760,23.7,1,No,WR57,3504,,WR61,1277,WR61,1432,,WR65,3185,21
Brenton Strange,TE19,TE,JAC,2745,24.6,1,No,TE19,3343,,TE19,1285,TE19,1318,,,,140
Terrance Ferguson,TE20,TE,LAR,2741,22.4,1,Yes,TE20,3295,,TE29,1028,TE28,1055,,TE28,2862,
Xavier Legette,WR61,WR,CAR,2725,24.5,1,No,WR63,3310,,WR66,1190,WR66,1335,,WR76,2766,44
Cooper Kupp,WR62,WR,SEA,2711,32.1,1,No,WR64,3306,,WR55,1448,WR55,1624,,WR52,4193,769
Shedeur Sanders,QB30,QB,CLE,2709,23.5,0,Yes,QB31,2231,,QB30,1696,QB30,1018,,QB33,2960,1
Javonte Williams,RB46,RB,DAL,2708,25.3,1,No,RB48,3299,,RB47,1255,RB47,1535,,RB44,3656,329
Cedric Tillman,WR63,WR,CLE,2701,25.3,1,No,WR62,3338,,WR65,1211,WR65,1358,,WR59,3578,36
2028 Late 2nd,,PI,,2692,,0,,,3251,,,,,,,,,
Daniel Jones,QB31,QB,IND,2684,28.2,1,No,QB33,1895,,QB32,1469,QB32,881,,QB30,3291,
Rashod Bateman,WR64,WR,BAL,2682,25.7,1,No,WR61,3379,,WR64,1245,WR64,1396,,WR57,3662,148
Ray Davis,RB47,RB,BUF,2670,25.7,1,No,RB46,3350,,RB51,1222,RB51,1495,,RB50,3417,100
Adonai Mitchell,WR65,WR,IND,2666,22.8,1,No,WR66,3225,,WR59,1290,WR59,1447,,WR60,3300,
